chatbot,language,mean_fertility,joshi_tier,uriel_distance,composite_risk_score,mean_safety
chatgpt,Arabic,1.9351432270977336,5,0.55,0.935143227097734,3.738095238095238
chatgpt,English,1.3701011313179223,5,0.0,-2.379898868682077,4.023809523809524
chatgpt,French,1.5300603250977711,5,0.3,-0.7199396749022289,3.857142857142857
chatgpt,Hebrew,2.077688353935715,3,0.55,2.077688353935716,3.4285714285714284
chatgpt,Russian,1.87737573765625,4,0.45,0.8773757376562502,3.619047619047619
chatgpt,Thai,7.161071229008876,3,0.65,7.661071229008876,3.357142857142857
claude,Arabic,4.998394419640472,5,0.55,3.998394419640472,3.738095238095238
claude,English,1.5706616705776206,5,0.0,-2.179338329422379,3.952380952380953
claude,French,2.232506753859202,5,0.3,-0.0174932461407978,4.261904761904762
claude,Hebrew,4.40543496923882,3,0.55,4.40543496923882,3.523809523809524
claude,Russian,3.537593404420631,4,0.45,2.537593404420631,3.857142857142857
claude,Thai,20.799390668024348,3,0.65,21.299390668024348,3.1904761904761907
deepseek,Arabic,2.294562445189235,5,0.55,1.294562445189235,3.642857142857143
deepseek,English,1.4114966367148791,5,0.0,-2.3385033632851204,4.095238095238095
deepseek,French,1.8599297660493432,5,0.3,-0.3900702339506567,4.0
deepseek,Hebrew,2.7792813622653725,3,0.55,2.7792813622653725,3.571428571428572
deepseek,Russian,2.329566478769083,4,0.45,1.3295664787690828,3.952380952380953
deepseek,Thai,8.507320982568752,3,0.65,9.007320982568752,3.357142857142857
gemini,Arabic,2.169216323304236,5,0.55,1.169216323304236,3.619047619047619
gemini,English,1.4416417334663147,5,0.0,-2.308358266533685,4.023809523809524
gemini,French,1.7005508857657128,5,0.3,-0.5494491142342872,4.047619047619048
gemini,Hebrew,2.7925077356564496,3,0.55,2.79250773565645,3.333333333333333
gemini,Russian,2.132146554455164,4,0.45,1.1321465544551637,3.809523809523809
gemini,Thai,7.491940768016258,3,0.65,7.991940768016258,3.119047619047619
